,lon,lat,locid,V1,V2,Shape_Length,Shape_Area,Location,State
306,143.75,-38,60423,519,105,2.249999999,0.3125,Cell 35,VIC1
307,144.375,-38,60424,520,105,2.249999999,0.3125,Cell 36,VIC1
308,145.625,-38,60426,522,105,2.249999999,0.3125,Cell 37,VIC1
309,146.25,-38,60427,523,105,2.250000001,0.3125,Cell 38,VIC1
310,146.875,-38,60428,524,105,2.249999999,0.3125,Cell 39,VIC1
311,147.5,-38,60429,525,105,2.249999999,0.3125,Cell 40,VIC1
312,142.5,-37.5,60997,517,106,2.249999999,0.3125,Cell 44,VIC1
313,143.125,-37.5,60998,518,106,2.250000001,0.3125,Cell 45,VIC1
314,143.75,-37.5,60999,519,106,2.249999999,0.3125,Cell 46,VIC1
315,145,-37.5,61001,521,106,2.250000001,0.3125,Cell 48,VIC1
316,145.625,-37.5,61002,522,106,2.249999999,0.3125,Cell 49,VIC1
317,142.5,-37,61573,517,107,2.249999999,0.3125,Cell 60,VIC1
318,143.125,-37,61574,518,107,2.250000001,0.3125,Cell 61,VIC1
319,143.75,-37,61575,519,107,2.249999999,0.3125,Cell 62,VIC1
320,144.375,-37,61576,520,107,2.249999999,0.3125,Cell 63,VIC1
321,145.625,-37,61578,522,107,2.249999999,0.3125,Cell 65,VIC1
322,146.25,-37,61579,523,107,2.250000001,0.3125,Cell 66,VIC1
323,146.875,-37,61580,524,107,2.249999999,0.3125,Cell 67,VIC1
324,147.5,-37,61581,525,107,2.249999999,0.3125,Cell 68,VIC1
325,142.5,-36.5,62149,517,108,2.249999999,0.3125,Cell 76,VIC1
326,144.375,-36.5,62152,520,108,2.249999999,0.3125,Cell 79,VIC1
327,145,-36.5,62153,521,108,2.250000001,0.3125,Cell 80,VIC1
328,145.625,-36.5,62154,522,108,2.249999999,0.3125,Cell 81,VIC1
329,146.25,-36.5,62155,523,108,2.250000001,0.3125,Cell 82,VIC1
330,146.875,-36.5,62156,524,108,2.249999999,0.3125,Cell 83,VIC1
331,147.5,-36.5,62157,525,108,2.249999999,0.3125,Cell 84,VIC1
332,148.125,-36.5,62158,526,108,2.250000001,0.3125,Cell 85,VIC1
333,143.75,-36,62727,519,109,2.249999999,0.3125,Cell 97,VIC1
334,144.375,-36,62728,520,109,2.249999999,0.3125,Cell 98,VIC1
335,145,-36,62729,521,109,2.250000001,0.3125,Cell 99,VIC1
336,145.625,-36,62730,522,109,2.249999999,0.3125,Cell 100,VIC1
337,143.125,-35.5,63302,518,110,2.250000003,0.312500001,Cell 115,VIC1
338,143.75,-35.5,63303,519,110,2.250000001,0.3125,Cell 116,VIC1
339,142.5,-35,63877,517,111,2.249999999,0.3125,Cell 136,VIC1
340,143.125,-35,63878,518,111,2.250000001,0.3125,Cell 137,VIC1
116,151.749997,-32.916663,0,0,0,2.250000001,0.3125,Cell 2127,NSW1
