electricity,irradiance_direct,irradiance_diffuse,temperature
0.5660000000000001,0.446,0.32,38.272
0.214,0.052000000000000005,0.226,36.958
0.074,0.013000000000000001,0.092,35.665
0.015,0.005,0.025,34.16
0.0,0.0,0.0,32.474
0.0,0.0,0.0,31.589
0.0,0.0,0.0,30.738
0.0,0.0,0.0,29.983
0.0,0.0,0.0,29.287
0.0,0.0,0.0,28.677
0.0,0.0,0.0,28.115
0.0,0.0,0.0,27.604
0.0,0.0,0.0,27.168
0.0,0.0,0.0,26.703
0.0,0.0,0.0,26.311
0.036000000000000004,0.039,0.018000000000000002,26.286
0.234,0.17500000000000002,0.113,27.753
0.47100000000000003,0.386,0.209,30.348
0.606,0.53,0.271,32.386
0.6960000000000001,0.675,0.278,34.131
0.736,0.756,0.277,35.661
0.734,0.75,0.28800000000000003,36.813
0.66,0.539,0.372,37.192
0.5650000000000001,0.36,0.399,37.181
0.549,0.417,0.318,37.273
0.425,0.297,0.255,36.838
0.189,0.095,0.15,35.791
0.059000000000000004,0.038,0.049,34.359
0.0,0.001,0.001,32.282
0.0,0.0,0.0,31.316
0.0,0.0,0.0,30.436
0.0,0.0,0.0,29.551
0.0,0.0,0.0,28.638
0.0,0.0,0.0,27.695
0.0,0.0,0.0,27.071
0.0,0.0,0.0,26.367
0.0,0.0,0.0,25.434
0.0,0.0,0.0,24.415
0.0,0.0,0.0,23.536
0.193,0.214,0.022,23.304
0.481,0.487,0.108,25.603
0.6900000000000001,0.76,0.157,29.473
0.745,0.8300000000000001,0.194,32.027
0.771,0.876,0.20700000000000002,33.902
0.774,0.882,0.221,35.614
0.761,0.85,0.23800000000000002,36.998
0.72,0.745,0.275,37.927
0.639,0.56,0.323,38.271
0.513,0.359,0.326,38.169
0.394,0.258,0.254,37.784
0.242,0.156,0.156,36.991
0.085,0.065,0.054,35.264
0.0,0.002,0.001,32.919
0.0,0.0,0.0,31.386
0.0,0.0,0.0,29.809
0.0,0.0,0.0,28.279
0.0,0.0,0.0,26.84
0.0,0.0,0.0,25.588
0.0,0.0,0.0,24.464
0.0,0.0,0.0,23.414
0.0,0.0,0.0,22.408
0.0,0.0,0.0,21.474
0.0,0.0,0.0,20.658
0.21,0.232,0.021,20.904
0.593,0.644,0.098,23.741
0.719,0.807,0.148,27.867
0.758,0.879,0.179,33.49
0.774,0.903,0.2,35.801
0.779,0.914,0.21,37.274
0.773,0.906,0.215,38.398
0.761,0.891,0.215,39.137
0.738,0.852,0.212,39.443
0.6980000000000001,0.791,0.201,39.337
0.629,0.6940000000000001,0.176,38.791
0.498,0.53,0.132,37.792
0.227,0.231,0.061,36.133
0.0,0.003,0.001,34.055
0.0,0.0,0.0,31.77
0.0,0.0,0.0,29.595
0.0,0.0,0.0,28.544
0.0,0.0,0.0,27.838
0.0,0.0,0.0,27.09
0.0,0.0,0.0,26.538
0.0,0.0,0.0,26.099
0.0,0.0,0.0,25.746
0.0,0.0,0.0,25.411
0.0,0.0,0.0,25.164
0.036000000000000004,0.04,0.017,25.263
0.153,0.095,0.097,26.49
0.297,0.163,0.202,28.242
0.319,0.11,0.28500000000000003,29.714
0.271,0.029,0.308,30.322
0.309,0.028,0.357,31.075
0.334,0.03,0.389,31.911
0.337,0.032,0.392,32.535
0.306,0.031,0.354,32.843
0.26,0.033,0.295,33.018
0.182,0.027,0.20600000000000002,32.817
0.138,0.041,0.139,32.469
0.067,0.041,0.055,31.442
0.0,0.001,0.001,29.548000000000002
0.0,0.0,0.0,28.609
0.0,0.0,0.0,27.447
0.0,0.0,0.0,26.488
0.0,0.0,0.0,25.996
0.0,0.0,0.0,25.689
0.0,0.0,0.0,25.234
0.0,0.0,0.0,24.668
0.0,0.0,0.0,24.25
0.0,0.0,0.0,23.99
0.0,0.0,0.0,23.775
0.107,0.117,0.022,24.11
0.374,0.336,0.121,26.419
0.46,0.355,0.223,29.257
0.577,0.448,0.307,31.891
0.7000000000000001,0.679,0.28300000000000003,34.3
0.732,0.739,0.29,36.096
0.735,0.746,0.297,37.248
0.715,0.707,0.306,37.967
0.658,0.589,0.325,38.145
0.488,0.295,0.35000000000000003,37.594
0.249,0.078,0.242,36.594
0.075,0.015,0.093,35.466
